번호,대분류,중분류,소분류,기능명,기능 설명,사전조건,사용자 조작 방법,기대 결과,비고
11,항공사 대시보드,메인 레이아웃,사이드바,탭 네비게이션,"4개 탭으로 구성된 좌측 사이드바 메뉴. 현재 선택된 탭이 하이라이트됨",항공사 대시보드 접속,"각 탭 클릭으로 전환: 발생현황 / 조치이력 / 통계 / 공지사항","클릭한 탭이 활성화(하이라이트)되고 우측 콘텐츠 영역이 해당 탭 내용으로 변경됨",
12,항공사 대시보드,메인 레이아웃,공지사항 팝업,미확인 공지사항 자동 팝업,"항공사 페이지 진입 시 읽지 않은 공지사항이 있으면 자동으로 팝업 표시",미확인 공지사항 존재,항공사 대시보드 페이지 접속,"미확인 공지사항이 팝업으로 자동 표시됨. 제목, 내용, 긴급도가 보임. 닫기 버튼으로 닫을 수 있으며, 닫으면 읽음 처리됨",세션당 1회만 표시
13,항공사 대시보드,발생현황 탭,탭 선택,발생현황 탭 진입,"현재 자사 항공사에 해당하는 유사호출부호 발생 현황 목록을 카드 형태로 표시",항공사 대시보드 접속,"좌측 사이드바에서 '발생현황' 탭 클릭","유사호출부호 발생 카드 목록이 표시됨. 각 카드에 호출부호 쌍, 발생건수, 최근발생일, 위험도, 유사도, 오류유형, 조치상태가 표시됨",기본 탭
14,항공사 대시보드,발생현황 탭,필터 - 날짜범위,날짜 범위 필터,"발생 데이터를 특정 기간으로 필터링. 빠른 선택 버튼(오늘/1주/2주/1개월) 제공",발생현황 탭 활성화,"날짜 시작일/종료일 입력 또는 빠른 선택 버튼(오늘, 1주, 2주, 1개월) 클릭","선택한 기간 내 발생 데이터만 필터링되어 표시됨. 카드 목록과 건수가 업데이트됨",
15,항공사 대시보드,발생현황 탭,필터 - 오류유형,오류유형별 필터,"오류유형별 통계 카드를 클릭하면 해당 유형만 필터링됨",발생현황 탭 활성화,"상단 오류유형별 통계 카드(오류미발생, Readback Error 등) 클릭","클릭한 오류유형에 해당하는 항목만 필터링되어 표시됨. 선택된 카드가 하이라이트됨. 다시 클릭하면 필터 해제",
16,항공사 대시보드,발생현황 탭,필터 - 조치상태,조치 상태별 필터,"전체/조치필요/조치중/조치완료/재감지 상태로 필터링",발생현황 탭 활성화,"상태 필터 버튼 클릭: 전체 / 조치필요 / 조치중 / 조치완료 / 재감지","선택한 상태에 해당하는 카드만 표시됨. 선택된 버튼이 활성화 스타일로 변경됨",
17,항공사 대시보드,발생현황 탭,필터 - 정렬,정렬 기준 변경,"목록의 정렬 기준을 변경함",발생현황 탭 활성화,"정렬 드롭다운에서 선택: 우선순위순 / AI점수순 / 최신순 / 발생건수순","선택한 기준에 따라 카드 목록이 재정렬됨",
18,항공사 대시보드,발생현황 탭,필터 - 사유유형,사유유형 필터,"AI 분석 결과의 사유유형(조종사실수/관제사실수 등)으로 필터링",발생현황 탭 활성화,사유유형 필터 드롭다운에서 항목 선택,"선택한 사유유형에 해당하는 항목만 표시됨",
19,항공사 대시보드,발생현황 탭,필터 - 검색,호출부호 검색,"특정 호출부호를 텍스트로 검색하여 필터링",발생현황 탭 활성화,"검색 입력란에 호출부호 입력 (예: KAL1256)","입력한 텍스트를 포함하는 호출부호 쌍만 표시됨. 실시간 필터링(디바운싱 적용)",
20,항공사 대시보드,발생현황 탭,AI 추천 토글,AI 추천 표시/숨김,"AI 분석 결과(점수, 사유, 설명)를 카드에 표시하거나 숨김",발생현황 탭 활성화,"'🤖 AI 추천' 토글 버튼 클릭","[ON] 각 카드에 AI 점수(0~100), 사유유형 배지, AI 설명 텍스트가 추가 표시됨. [OFF] AI 분석 정보가 숨겨짐",
21,항공사 대시보드,발생현황 탭,카드 표시 정보,발생현황 카드 구성,"각 유사호출부호 쌍의 상세 정보를 카드 형태로 표시",발생현황 탭 활성화,카드 목록 확인,"각 카드에 표시되는 정보: ①호출부호 쌍(자사↔타사) ②조치상태 배지(완료/조치중/조치필요) ③발생건수 ④최근발생일 ⑤유사도 ⑥위험도(오류가능성) ⑦오류유형 배지 ⑧발생이력 타임라인(날짜+시간)",
22,항공사 대시보드,발생현황 탭,카드 클릭,발생현황 상세 모달 열기,"카드를 클릭하면 해당 호출부호 쌍의 상세 정보 모달이 열림",발생현황 탭에서 카드 표시됨,카드 영역 클릭,"상세 모달이 열림. 호출부호 쌍, 발생건수, 최초/최근 발생일, 유사성, 오류가능성, 자사/타사 호출부호, 오류유형, 세부오류, 타사 항공사 코드, ATC 권고사항이 표시됨",
23,항공사 대시보드,발생현황 탭,재감지 확인,재감지 알림 확인 버튼,"이전에 조치 완료된 호출부호 쌍이 다시 감지되었을 때 확인 처리",재감지된 항목 존재,재감지된 카드의 '확인' 버튼 클릭,"재감지 알림이 확인 처리됨. 카드의 재감지 배지가 사라지고 상태가 업데이트됨",
24,항공사 대시보드,발생현황 탭,페이지네이션,목록 페이지 이동,"카드 목록이 많을 때 페이지 단위로 나눠서 표시. 페이지 크기 조절 가능",발생현황 탭에서 데이터 존재,"하단 페이지 번호 클릭 또는 이전/다음 버튼 클릭. 페이지 크기 드롭다운(10/20/30/50)에서 선택","선택한 페이지의 카드가 표시됨. 현재 페이지 번호가 하이라이트됨. 페이지 크기 변경 시 1페이지로 초기화",
25,항공사 대시보드,발생현황 탭,조치 등록,조치 등록 모달 열기,"카드에서 조치 등록 버튼을 눌러 해당 호출부호에 대한 조치를 등록하는 모달을 열음",발생현황 탭에서 미조치 카드 존재,카드의 '조치등록' 또는 '조치' 버튼 클릭,"조치 등록 모달이 열림. 호출부호 쌍(읽기전용), 조치유형 드롭다운, 처리일자, 상세내용 입력란이 표시됨",
26,항공사 대시보드,조치 등록 모달,조치유형 선택,조치유형 드롭다운,"관리자가 설정한 조치유형 목록에서 선택",조치 등록 모달 열림,조치유형 드롭다운 클릭 후 항목 선택 (예: 조종사브리핑/운항공지 등),"선택한 조치유형이 드롭다운에 표시됨",
27,항공사 대시보드,조치 등록 모달,처리일자 입력,처리일자 선택,"조치를 완료한 날짜를 선택",조치 등록 모달 열림,날짜 입력란 클릭 후 날짜 선택,"선택한 날짜가 입력란에 표시됨",
28,항공사 대시보드,조치 등록 모달,상세내용 입력,조치 상세내용 작성,"조치에 대한 상세 설명을 자유 텍스트로 입력",조치 등록 모달 열림,상세내용 텍스트 영역에 내용 입력,"입력한 내용이 텍스트 영역에 표시됨",
29,항공사 대시보드,조치 등록 모달,등록 버튼,조치 등록 실행,"입력한 조치 정보를 서버에 저장. callsigns 상태도 함께 업데이트됨",조치유형 및 필수 항목 입력 완료,"'등록' 또는 '저장' 버튼 클릭","[성공] '조치가 등록되었습니다' 메시지 표시. 모달이 닫히고 카드 목록이 갱신됨. 해당 카드의 상태가 '완료' 또는 '조치중'으로 변경됨. [실패] 필수 항목 미입력 시 유효성 에러 메시지",
30,항공사 대시보드,조치 등록 모달,상대 항공사 조치 표시,상대 항공사 조치 내역 확인,"모달 우측에 상대 항공사가 이미 등록한 조치 내역이 있으면 표시됨 (같은 항공사인 경우 숨김)",조치 등록 모달 열림 + 다른 항공사 호출부호 쌍,모달 열면 자동 표시,"[다른 항공사] 앰버(황색) 영역에 상대 항공사의 조치유형, 처리일자, 상태, 상세내용이 표시됨. [같은 항공사] 상대 항공사 조치 내역 영역이 표시되지 않음. [미등록] '아직 상대 항공사의 조치가 등록되지 않았습니다' 메시지",
31,항공사 대시보드,조치 상세 모달,모달 열기,조치 상세정보 모달,"등록된 조치가 있는 카드를 클릭하면 조치 상세정보를 보여주는 모달이 열림",조치가 등록된 카드 존재,조치 등록된 카드 클릭,"조치 상세 모달이 열림. 상단에 호출부호 쌍 표시, 4개 통계(발생건수/최근발생일/위험도/유사도), 조치 정보(조치유형/처리일자/상태/상세내용), 오류유형별 집계, 발생이력(최대 10건)이 표시됨",
32,항공사 대시보드,조치 상세 모달,통계 그리드,발생 통계 4종 표시,"발생건수, 최근발생일, 위험도, 유사도를 그리드로 표시",조치 상세 모달 열림,모달 내용 확인,"4개 카드: ①발생건수(숫자+건) ②최근발생일(MM.DD 형식) ③위험도(매우높음=빨강/높음=주황 배지) ④유사도(매우높음=빨강/높음=주황 배지)",
33,항공사 대시보드,조치 상세 모달,조치 정보,내 조치 정보 표시,"자사 항공사가 등록한 조치의 상세 정보를 파란색 영역에 표시",조치 상세 모달 열림,모달 좌측 파란색 영역 확인,"파란색 좌측 테두리 영역에: 조치유형, 처리일자(YYYY.M.D 형식), 상태 배지(✓완료=초록/진행중=파랑), 상세내용이 표시됨. 미조치인 경우 '아직 조치가 등록되지 않았습니다' 메시지",
34,항공사 대시보드,조치 상세 모달,상대 조치 정보,상대 항공사 조치 내역 표시,"다른 항공사가 등록한 조치 내역을 앰버(황색) 영역에 표시. 같은 항공사 호출부호 쌍이면 이 영역은 숨겨짐",조치 상세 모달 열림,모달 우측 앰버색 영역 확인,"[다른 항공사 쌍] 앰버색 좌측 테두리 영역에: 조치유형, 처리일자, 상태(완료/진행중), 담당자, 상세내용이 표시됨. [같은 항공사 쌍] 이 영역 자체가 표시되지 않고 조치 정보가 전체 너비로 표시됨",
35,항공사 대시보드,조치 상세 모달,오류유형별 집계,오류유형 통계,"해당 호출부호 쌍의 발생 이력에서 오류유형별 건수를 집계하여 표시",조치 상세 모달 열림,모달 하단 '오류유형별 집계' 영역 확인,"각 오류유형별 카드가 표시됨. 유형명(예: 오류미발생/Readback Error 등)과 건수가 고유 색상으로 구분되어 표시됨. 최대 3열 그리드",
36,항공사 대시보드,조치 상세 모달,발생 이력,발생 이력 타임라인,"해당 호출부호 쌍의 최근 발생 이력을 날짜+시간 배지로 표시 (최대 10건)",조치 상세 모달 열림,모달 최하단 '발생 이력' 영역 확인,"MM-DD HH:MM 형식의 배지가 가로로 나열됨. 최대 10건까지 표시. 발생 이력이 없으면 이 영역이 숨겨짐",
37,항공사 대시보드,조치 상세 모달,닫기,모달 닫기,"상세 모달을 닫고 목록으로 돌아감",조치 상세 모달 열림,"모달 하단 '닫기' 버튼 클릭 또는 모달 바깥 영역(배경) 클릭","모달이 닫히고 발생현황 또는 조치이력 목록이 다시 보임",
38,항공사 대시보드,조치이력 탭,탭 선택,조치이력 탭 진입,"자사 항공사의 전체 호출부호 목록과 조치 현황을 테이블 형태로 표시",항공사 대시보드 접속,"좌측 사이드바에서 '조치이력' 탭 클릭","테이블 형태의 목록이 표시됨. 상단에 통계바(전체/조치완료/조치필요 건수), 필터 영역, 테이블 본문, 하단 페이지네이션이 구성됨",
39,항공사 대시보드,조치이력 탭,통계바,조치 통계 요약,"전체/조치완료/조치필요 건수를 상단에 요약 표시",조치이력 탭 활성화,통계바 확인,"3개 항목 표시: ①전체(총 건수) ②조치완료(완료된 건수) ③조치필요(미조치+진행중 건수). 각 숫자가 실시간 반영됨",
40,항공사 대시보드,조치이력 탭,테이블 컬럼,테이블 구성,"호출부호 목록을 테이블로 표시하며 다양한 정보 컬럼을 제공",조치이력 탭 활성화,테이블 확인,"컬럼: ①등록일 ②처리일자 ③호출부호(자사↔타사) ④오류유형 ⑤위험도(색상 배지) ⑥유사도(색상 배지) ⑦발생건수 ⑧최근발생일 ⑨조치유형 ⑩상태(완료/조치중/미조치 배지)",
41,항공사 대시보드,조치이력 탭,필터 - 날짜범위,날짜 범위 필터,"조치이력을 특정 기간으로 필터링. 빠른 선택 버튼 제공",조치이력 탭 활성화,"날짜 시작일/종료일 입력 또는 빠른 선택 버튼 클릭","선택한 기간 내 데이터만 테이블에 표시됨",
42,항공사 대시보드,조치이력 탭,필터 - 상태,상태별 필터,"전체/조치완료/미조치 상태로 필터링",조치이력 탭 활성화,"상태 필터에서 선택: 전체 / 완료 / 미조치","선택한 상태에 해당하는 행만 테이블에 표시됨",
43,항공사 대시보드,조치이력 탭,필터 - 정렬,정렬 기준 변경,"테이블의 정렬 기준을 변경 (우선순위/최신/오래된순/위험도/발생건수)",조치이력 탭 활성화,"정렬 드롭다운에서 선택","선택한 기준으로 테이블이 재정렬됨",
44,항공사 대시보드,조치이력 탭,필터 - 검색,텍스트 검색,"호출부호, 오류유형, 조치유형, 위험도로 검색 필터링",조치이력 탭 활성화,검색 입력란에 텍스트 입력,"입력한 텍스트를 포함하는 행만 테이블에 표시됨",
45,항공사 대시보드,조치이력 탭,엑셀 내보내기,엑셀 다운로드 버튼,"현재 필터링된 테이블 데이터를 엑셀(Excel) 파일로 다운로드",조치이력 탭 활성화,엑셀 내보내기 버튼 클릭,"엑셀(.xlsx) 파일이 자동 다운로드됨. 현재 필터 적용된 데이터가 포함됨",
46,항공사 대시보드,조치이력 탭,행 클릭,조치 상세 모달 열기,"테이블 행 클릭 시 해당 호출부호의 조치 상세 모달이 열림",조치이력 탭에서 데이터 존재,테이블 행 클릭,"조치 상세 모달이 열림 (31번과 동일한 모달). 해당 호출부호의 상세 정보가 표시됨",
47,항공사 대시보드,조치이력 탭,페이지네이션,목록 페이지 이동,"테이블 데이터를 페이지 단위로 나눠서 표시 (기본 10건)",조치이력 탭에서 데이터 존재,하단 페이지 번호 또는 이전/다음 버튼 클릭,"선택한 페이지의 데이터가 테이블에 표시됨. 하단에 'X-Y / 전체 Z건' 표시",
48,항공사 대시보드,통계 탭,탭 선택,통계 탭 진입,"자사 항공사의 유사호출부호 관련 통계를 차트로 시각화",항공사 대시보드 접속,"좌측 사이드바에서 '통계' 탭 클릭","통계 차트들이 표시됨. 날짜 범위 필터와 빠른 선택 버튼이 상단에 위치",
49,항공사 대시보드,통계 탭,차트 - 조치효과,조치 효과성 차트,"조치유형별 효과를 차트로 표시. 어떤 조치가 가장 효과적인지 시각화",통계 탭 활성화,차트 확인,"조치유형별(조종사브리핑/운항공지 등) 효과를 막대 또는 원형 차트로 표시",
50,항공사 대시보드,통계 탭,차트 - 월별추이,월별 감지 추이 차트,"월별 유사호출부호 감지 건수 추이를 시계열 차트로 표시",통계 탭 활성화,차트 확인,"X축: 월, Y축: 감지 건수. 선(Line) 또는 막대(Bar) 차트로 월별 추이가 표시됨",
51,항공사 대시보드,통계 탭,차트 - 시간패턴,시간대별 발생 패턴 히트맵,"요일별/시간대별 발생 패턴을 히트맵으로 표시",통계 탭 활성화,차트 확인,"X축: 시간(0~23시), Y축: 요일(월~일). 색상 농도로 발생 빈도를 표시하는 히트맵",
52,항공사 대시보드,통계 탭,필터 - 날짜범위,통계 기간 필터,"통계 차트의 데이터 기간을 필터링",통계 탭 활성화,"날짜 범위 입력 또는 빠른 선택 버튼 클릭","선택한 기간에 해당하는 통계 데이터로 차트가 업데이트됨",
53,항공사 대시보드,공지사항 탭,탭 선택,공지사항 탭 진입,"관리자가 등록한 공지사항 목록을 표시",항공사 대시보드 접속,"좌측 사이드바에서 '공지사항' 탭 클릭","공지사항 목록이 표시됨. 각 공지에 제목, 긴급도 표시, 등록일이 보임. 미확인 건수 배지가 탭에 표시됨",
54,항공사 대시보드,공지사항 탭,공지 클릭,공지사항 상세 보기,"공지사항 항목을 클릭하면 전체 내용을 볼 수 있음",공지사항 탭 활성화,공지사항 항목 클릭,"공지사항 전체 내용이 표시됨. 읽음 처리되어 미확인 배지 숫자가 감소함",
55,관리자,관리자 메인,페이지 접근,관리자 대시보드,"관리자 로그인 후 자동으로 호출부호관리 페이지로 이동. 좌측에 관리 메뉴 사이드바가 표시됨",관리자 계정 로그인,관리자 로그인 성공,"호출부호관리(/callsign-management) 페이지로 자동 이동. 좌측 사이드바에 관리 메뉴(호출부호관리/사용자관리/항공사관리/조치관리/공지사항/설정 등) 표시",
56,관리자,호출부호관리,발생현황 탭,관리자 발생현황,"전체 항공사의 유사호출부호 발생 현황을 관리자 시점에서 조회",호출부호관리 페이지 접속,"'발생현황' 탭 클릭","전체 항공사의 호출부호 발생 카드가 2열 그리드로 표시됨. 항공사 선택 드롭다운으로 특정 항공사만 필터링 가능",
57,관리자,호출부호관리,발생현황 - 항공사필터,항공사별 필터,"특정 항공사의 데이터만 필터링하여 조회",발생현황 탭 활성화,"항공사 선택 드롭다운에서 항공사 선택 (모든 항공사 / 대한항공 / 아시아나 등)","선택한 항공사의 호출부호 데이터만 카드에 표시됨. '모든 항공사' 선택 시 전체 표시",
58,관리자,호출부호관리,발생현황 - 필터바,관리자 필터 기능,"날짜범위/조치상태/정렬/AI추천/검색 등 다양한 필터를 제공 (항공사 사용자와 유사하나 항공사 선택 필터 추가)",발생현황 탭 활성화,각 필터 조작 (14~20번 참고),"필터 적용된 결과가 카드 목록에 반영됨. 항공사 필터가 추가로 제공되는 점이 항공사 사용자 화면과 다름",
59,관리자,호출부호관리,발생현황 - 통계카드,오류유형별 통계,"상단에 전체 건수와 오류유형별 건수/비율을 카드로 표시. 클릭하면 해당 유형으로 필터링됨",발생현황 탭 활성화,상단 통계 카드 확인 및 클릭,"전체(N건), 각 오류유형별(N건, N%) 카드가 표시됨. 카드 클릭 시 해당 유형으로 필터링됨",
60,관리자,호출부호관리,조치현황 탭,관리자 조치현황,"전체 항공사의 호출부호와 조치 현황을 테이블로 종합 조회",호출부호관리 페이지 접속,"'조치현황' 탭 클릭","4개 통계카드(전체/매우높음/높음/기타)와 호출부호 테이블이 표시됨. 컬럼: 항공사/호출부호/위험도/유사도/발생건수/상태/조치유형/최근발생일",
61,관리자,호출부호관리,조치현황 - 필터,관리자 조치현황 필터,"위험도/항공사/상태/조치유형/날짜범위/검색으로 다양한 필터링",조치현황 탭 활성화,"각 필터 드롭다운 선택 또는 검색어 입력","필터 조건에 맞는 데이터만 테이블에 표시됨",
62,관리자,호출부호관리,조치현황 - 엑셀,엑셀 내보내기,"조치현황 테이블 데이터를 엑셀 파일로 다운로드",조치현황 탭 활성화,엑셀 내보내기 버튼 클릭,"현재 필터 적용된 데이터가 엑셀(.xlsx) 파일로 다운로드됨",
63,관리자,호출부호관리,통계 탭,관리자 통계,"전체 항공사 기준 통계 차트 4종을 표시",호출부호관리 페이지 접속,"'통계' 탭 클릭","4개 차트 표시: ①유사호출부호 분포(위험도별) ②월별 감지 추이 ③조치 효과성 ④시간대별 패턴. 날짜 범위 필터 제공",
64,관리자,호출부호관리,엑셀입력 탭,엑셀 파일 업로드,"엑셀 파일을 드래그앤드롭 또는 파일선택으로 업로드하여 호출부호 데이터를 일괄 등록",호출부호관리 페이지 접속,"'엑셀입력' 탭 클릭","파일 업로드 영역(드래그앤드롭 존)과 업로드 이력 테이블이 표시됨",
65,관리자,호출부호관리,엑셀입력 - 업로드,파일 업로드 실행,"엑셀 파일을 선택하여 서버에 업로드. 업로드 후 데이터가 자동으로 파싱되어 DB에 저장됨",엑셀입력 탭 활성화,"드래그앤드롭 영역에 파일 끌어다 놓기 또는 영역 클릭하여 파일 선택","[성공] 업로드 진행바 표시 후 '업로드 완료' 메시지. 업로드 이력 테이블에 새 행 추가(파일명/업로드일/상태/행수). [실패] 파일 형식 오류 또는 데이터 검증 실패 에러 메시지",
66,관리자,호출부호관리,엑셀입력 - 이력,업로드 이력 관리,"업로드된 파일 이력을 테이블로 표시. 삭제 기능 제공",엑셀입력 탭 활성화,업로드 이력 테이블 확인,"테이블에 파일명/업로드일시/상태/등록건수가 표시됨. 각 행에 삭제 버튼이 있음",
67,관리자,호출부호관리,엑셀입력 - 삭제,업로드 파일 삭제,"업로드된 파일과 관련 데이터를 삭제. 일반삭제/강제삭제 옵션 제공",엑셀입력 탭에서 이력 존재,이력 행의 삭제 버튼 클릭 → 확인 대화상자에서 확인,"해당 업로드 파일과 관련 데이터가 삭제됨. 이력 테이블에서 해당 행이 제거됨",
68,관리자,사용자관리,페이지 접근,사용자 관리 페이지,"전체 사용자 목록을 테이블로 표시하고 관리 기능을 제공",관리자 로그인,"좌측 메뉴에서 '사용자관리' 클릭","사용자 목록 테이블이 표시됨. 상단에 필터 탭(전체/활성/정지)과 '+ 사용자 추가' 버튼",
69,관리자,사용자관리,테이블 구성,사용자 목록 테이블,"등록된 전체 사용자 정보를 테이블로 표시",사용자관리 페이지 접속,테이블 확인,"컬럼: ①이메일 ②항공사(드롭다운으로 변경 가능) ③상태(활성/정지 배지) ④역할(관리자/사용자) ⑤가입일 ⑥최종로그인 ⑦액션버튼",
70,관리자,사용자관리,필터 탭,상태별 필터,"전체/활성/정지 상태별로 사용자 목록을 필터링",사용자관리 페이지 접속,"상단 탭 클릭: 전체 / 활성 / 정지","선택한 상태에 해당하는 사용자만 테이블에 표시됨",
71,관리자,사용자관리,사용자 추가,사용자 생성 모달,"새로운 사용자 계정을 생성하는 모달",사용자관리 페이지 접속,"'+ 사용자 추가' 버튼 클릭","사용자 생성 모달이 열림. 이메일, 비밀번호, 비밀번호 확인, 역할(관리자/사용자), 항공사(사용자 역할인 경우) 입력란이 표시됨",
72,관리자,사용자관리,사용자 생성 실행,사용자 등록,"모달에서 정보 입력 후 사용자 계정 생성",사용자 생성 모달 열림,"각 필드 입력 후 '생성' 버튼 클릭","[성공] '사용자가 생성되었습니다' 메시지. 3초 후 모달 자동 닫힘. 테이블에 새 사용자 행 추가됨. [실패] 이메일 중복/비밀번호 불일치/조건 미충족 에러 메시지",비밀번호 4자 이상
73,관리자,사용자관리,사용자 정지,계정 정지,"활성 상태인 사용자 계정을 정지 처리",사용자가 활성 상태,해당 행의 '정지' 버튼 클릭,"확인 대화상자 표시 → 확인 클릭 시 해당 사용자가 정지 상태로 변경됨. 상태 배지가 '정지'로 변경됨. 해당 사용자는 더 이상 로그인 불가",
74,관리자,사용자관리,사용자 활성화,계정 활성화,"정지 상태인 사용자 계정을 다시 활성화",사용자가 정지 상태,해당 행의 '활성화' 버튼 클릭,"확인 대화상자 표시 → 확인 클릭 시 해당 사용자가 활성 상태로 변경됨. 상태 배지가 '활성'으로 변경됨",
75,관리자,사용자관리,사용자 삭제,계정 삭제,"사용자 계정을 완전히 삭제",사용자관리 페이지 접속,해당 행의 '삭제' 버튼 클릭,"확인 대화상자 표시(경고 메시지 포함) → 확인 클릭 시 해당 사용자가 테이블에서 제거됨. DB에서도 삭제됨",비가역적 작업
76,관리자,항공사관리,페이지 접근,항공사 관리 페이지,"등록된 항공사 목록을 테이블로 표시하고 관리 기능 제공",관리자 로그인,"좌측 메뉴에서 '항공사관리' 클릭","항공사 목록 테이블 표시. 컬럼: 항공사명/항공사코드/사용자수/상태/액션(편집/삭제/순서변경)",
77,관리자,항공사관리,항공사 추가,항공사 등록,"새로운 항공사를 시스템에 등록",항공사관리 페이지 접속,항공사 추가 버튼 클릭,"항공사 등록 모달 열림. 항공사명, 항공사코드(ICAO 3글자) 입력란 표시. 저장 버튼 클릭 시 테이블에 추가됨",
78,관리자,항공사관리,항공사 편집,항공사 정보 수정,"기존 항공사의 이름 또는 코드를 수정",항공사관리 페이지 접속,해당 행의 '편집' 버튼 클릭,"편집 모달 열림. 기존값이 채워진 항공사명/코드 입력란 표시. 수정 후 저장 버튼 클릭 시 테이블 업데이트",
79,관리자,항공사관리,항공사 삭제,항공사 삭제,"항공사를 시스템에서 삭제. 해당 항공사에 사용자가 있으면 삭제 불가(409 에러)",항공사관리 페이지 접속,해당 행의 '삭제' 버튼 클릭,"[사용자 없음] 확인 후 삭제됨. [사용자 있음] '해당 항공사에 사용자가 있어 삭제할 수 없습니다' 에러 메시지(409)",
80,관리자,항공사관리,순서 변경,항공사 표시 순서 변경,"항공사의 표시 순서를 드래그앤드롭으로 변경",항공사관리 페이지 접속,항공사 행을 드래그하여 원하는 위치로 이동,"항공사 표시 순서가 변경됨. 변경된 순서가 전체 시스템에 반영됨(드롭다운 등)",
81,관리자,조치관리,페이지 접근,조치 관리 페이지,"전체 항공사의 조치 이력을 통합 관리하는 페이지",관리자 로그인,"좌측 메뉴에서 '조치관리' 클릭","조치 목록 테이블 표시. 필터바(항공사/상태/날짜/검색)와 함께 전체 조치 이력이 테이블로 표시됨",
82,관리자,조치관리,필터,조치 필터링,"항공사/상태/날짜범위/검색어로 조치 이력을 필터링",조치관리 페이지 접속,"각 필터 선택 또는 검색어 입력. 초기화 버튼으로 전체 필터 리셋 가능","필터 조건에 맞는 조치만 테이블에 표시됨. 초기화 시 전체 데이터 표시",
